,zn,E_HFB,E_PNP,E_PNPAMP
157,"[36, 80]",828.6419711,830.22606455,832.65295458
158,"[48, 84]",1071.63406127,1072.45954525,1074.25822533
159,"[102, 150]",1842.78681238,1843.75425677,1846.28282268
160,"[40, 46]",740.32372058,740.79238766,742.99518101
161,"[68, 148]",1477.41708315,1478.91293707,1481.36090012
162,"[94, 178]",1899.14856889,1901.04190393,1902.98267481
163,"[32, 66]",731.58496544,733.23128247,736.08950732
164,"[48, 48]",794.2599335,795.13798394,796.94724205
165,"[34, 78]",780.09234537,781.44751396,783.62442495
166,"[30, 40]",607.19051496,609.28745496,611.11287017
167,"[42, 68]",912.11527643,913.10827355,915.71346864
168,"[76, 86]",1257.7248585,1259.33461561,1261.6587912
169,"[80, 110]",1488.99967128,1489.63382914,1492.66332583
170,"[50, 124]",1123.22702139,1123.79316019,1125.74706021
171,"[90, 190]",1859.34827835,1861.03706578,1863.16566166
172,"[72, 186]",1519.75471113,1521.68742172,1523.46410664
173,"[62, 132]",1365.953972,1367.98090783,1370.15729091
174,"[108, 164]",1947.97136291,1948.39120622,1951.30371283
175,"[68, 104]",1378.66501824,1379.87347461,1382.76426411
176,"[70, 180]",1482.30183515,1484.3458639,1486.87832849
177,"[30, 26]",453.93618279,454.46560158,457.1065485
178,"[66, 110]",1385.34287799,1386.71536377,1389.81213907
179,"[84, 122]",1601.60864036,1602.8242085,1604.90081935
180,"[74, 172]",1581.09644229,1582.79277977,1585.53973262
181,"[86, 124]",1623.69023286,1625.22581648,1627.18616222
182,"[60, 78]",1142.71509164,1144.23900376,1146.94976732
183,"[64, 82]",1200.49747489,1202.0883354,1204.28504051
184,"[84, 110]",1498.03782934,1498.70818448,1501.64456387
185,"[28, 52]",642.51051198,642.67988655,645.31565697
186,"[10, 16]",199.91119992,200.0997145,203.12271872
187,"[58, 64]",993.7911858,995.16383674,998.26129195
188,"[42, 84]",962.31570981,963.3871391,965.08637052
189,"[72, 160]",1551.31220319,1552.01636109,1554.77771374
190,"[76, 102]",1409.4195045,1410.85184149,1413.72995817
191,"[24, 38]",518.6993046,519.9335269,522.20688691
192,"[36, 38]",627.12574544,628.97593651,631.80237736
193,"[86, 176]",1795.09530927,1796.498403,1798.41207887
194,"[82, 122]",1595.39743219,1595.94552352,1598.01438377
195,"[50, 110]",1126.04391785,1126.85565737,1129.33946477
196,"[90, 130]",1671.68097566,1673.18219054,1675.39534714
197,"[96, 172]",1901.24169101,1903.17524627,1905.70044081
198,"[26, 26]",445.58518683,445.6267447,448.45405669
199,"[70, 92]",1303.17502761,1304.72521065,1307.43570285
200,"[54, 68]",1023.02981266,1024.59104037,1027.39923065
201,"[90, 134]",1695.83326546,1697.11193941,1699.44417552
202,"[32, 44]",657.5172503,658.85752267,661.64884944
203,"[76, 168]",1622.85229964,1623.54216452,1626.37029405
204,"[18, 32]",398.57657541,399.36239849,402.11138274
